Text,Sentiment
i also feel that labyrinths may be approached too much for solemn purposes,joy
i hate feeling so needy and yet knowing no one can help me feel better because the only thing that would make me happy and the only thing i need is doug,sadness
i know i feel agitated like the volcanos sudden movement i am thinking why cant i stop,anger
i realise the date and feel so alarmed as if its time i start living already,fear
i feel that everybody is so eager for competition at least that s what i am feeling very strongly,joy
i am feeling paranoid and not wanting to leave the house,fear
i want people to laugh whilst watching this however still feel a little suspicious of what could happen,fear
i definitely dont want to live forever but if i could stay looking and feeling until i hit maybe years on earth and then bite it thatd be cool,joy
i feel most rich with a full table of people to sit and eat with,joy
i took was blurry which kind of captures my feeling of relieved bliss,joy
i told the designer that it was very fitting for me because im always feeling like i dont belong in my job with my friends with my creative aspirations,joy
i go back to feeling miserable plus my eyes itch and its hot,sadness
i have been reaching for this a lot it is light nourishing and leaves my skin feeling amazing in the morning,surprise
i feel honoured and excited to introduce the incredibly nice very well travelled and oh so stylish a href http silkyway,joy
i don t feel gentle a href http www,love
i keep cards they are also leaves of past i would feel heartless to throw them away,anger
i think the force of the disappointment that i feel when i get rejected from a job has to do with wanting to keep this shield up to replace academia with some other job any other job whether i actually want it or not,sadness
i feel dissatisfied since ive been doing nothing,anger
i could feel myself hardening and not because of the gorgeous breasts that i was sucking on,joy
i feel ugly and certainly days where i dont want to give look or act my best,sadness
i just feel like a whiney bitch,sadness
i must say that i definitely feel like ive become much more intelligent this semester,joy
i remember feeling a little jaded after my first trip abroad like america had betrayed me somehow,sadness
i feel most romantic when its just the two of us hand in hand a couple without kids alone and free to just be together,love
i feel amazing putting on nd class said newly frocked interior communication electrician nd class rachel rice,surprise
i know im way knowledgeable now i feel like i am in such an amazing stage of life,surprise
i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,joy
im going to the valentines day banquet tonight and i just got all my makeup and hair done and i feel gorgeous,joy
i feel honoured that anyone takes time from their day to let me know they ve read my posts,joy
i feel absolutely sufficed and equally determined,joy
i have a feeling that prom will suck as signalled by the gloomy clouds and rainfall,sadness
i feel like the puppets are more of an obstacle than anything else distracting from the story and drama rather than supporting or adding to it,love
i think she just feels a bit threatened sometimes like guys who watch us and get off on it are kind of intruding,fear
i woke up half way home and vaguely remember feeling lost the where am i,sadness
i pulled over in a roadside forest and sat under a tree to relax for a bit reminding myself it s the journey and not the destination and feeling sure that the saying was invented by someone completely lost,joy
i feel brow beaten whenever the bbc comes under attack i ve pumped all of mr lyons words into wordle,sadness
i was feeling particularly gloomy the weather has the worst effect on me i didn,sadness
i feel bad for people who try to figure me out because even i dont know who i am,sadness
im feeling low or going through something difficult why is that the time that close friends choose to be moody or weird,sadness
i have been feeling really needy of attention maybe because ryan has been working a lot and i am home by myself all day,sadness
i have been made to look like im an albino and toned to the point of turning grey and feeling a little more skeptical each time i go to get my hairdresser,fear
i was feeling rather agitated over something as i was departed home and yet i couldn t attest to any particular reason why i was experiencing such erratic type of emotions at that time,anger
i try to convince him what he says he can t feel though in vain,sadness
i wish i could describe to you the joy i feel when i receive a letter from one of these precious children,joy
i remember last year feeling thankful but also having to nudge myself to remember all that i was and still am thankful for,joy
i am very much behind on my reading and writing for the fall quarter i might say that the decision to overwork the dawley text was what first fucked me over but neither do i feel i ought to be shaken by such a small thing,fear
i love reading your comments so please feel free to leave them,joy
i do not know if you have not had the experience of buying shoes online this is so true i feel sincere joy in the store are not always happy,joy
i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,anger
i am still proud of the change i made and it makes me feel good to know that i broke free of my addiction,joy
i supposed i ought to feel thankful for that adding with a sarcastic edge at my age,joy
i constantly feel an anxious twinge to start something great,fear
i do not think it is a lack of esteem i am confident in my own capabilities and feel that i am generally respected in my professional and personal life,joy
i would love to do something that i feel passionate about,love
i have finally signed a petition that made me feel kind of hopeful,joy
i still feel kind of listless and frustrated but its so much better than it was before,sadness
i know i m going to quit i feel frantic to smoke,fear
i have a feeling it will be a pleasant surprise,joy
im feeling inside but i just need to calm down and relax,joy
held under water by a large wave and thought i was drowning,fear
im not in a bad mood but i feel messy and unmotivated,sadness
i am a captivating feel energetic and motions and euphoric feelings is advisable that work all,joy
i feel that this is for others to decide i m delighted that fans of my paintings will now be able to see a body of work of which i m very proud,joy
i feel so honored to see them but part of me says come on queenie its time to retire to the royal bedchamber,joy
i feel rather disgusted after seeing his photography,anger
i feel blessed to have been surrounded with so many great coaches players and administrators that have worked relentlessly and dedicated themselves to this institution,joy
i feel we will all be doomed to repeat the horrors of the great depression and the wiemar republic depression,sadness
i was feeling jealous and i said no im not jealous because i know where i stand,anger
i feel like a petty girl whos wasting her time on a lost cause,anger
i also feel arisnote is a useful program,joy
i could help but feel deeply doubtful about my decision to come to india,fear
i was suppose to feel amazing but i didnt and would have to deal with that for the next,joy
i started to feel horny and responded to her kisses,love
i feel the artistic maelstrom swirling around me,joy
i had much trepidation about forcing the issue but i had prayed about it and not only was i being honest with my feelings i was convinced i was right,joy
i feel a bit discontent that its passed me by again,sadness
i was feeling ecstatic i was feeling laid back i didnt care anymore,joy
i am once more reminded that smooth travel depends mostly on luck and this time i have it and others do not and so i feel like the rich person who was handed fortunes while others just scraped by if that,joy
i took my car and my camera to a scrapyard and despite feeling very intimidated by my surrounds i asked if i could take a few pics and when i got the ok i did just that,fear
i write these words i feel solemn,joy
i feel fearful that they will want to save her from the things people and places i joyfully drag her into the center of,fear
i was feeling much more mellow,joy
i feel to glad that this blog must be helpful knowledgeable and explorable,joy
im feeling unloved and unwanted and as if the only person in the world who loves me is my child,sadness
i fear before each exam,fear
i sure do feel rich right now,joy
i really enjoy physics it makes me think and analyse and even though it gets frustrating the feeling of solving a problem is just wonderful,joy
im quick to feel guilt for the innocent,joy
i was feeling confident once again vanessa and mamen had succeeded in reminding me why i came here,joy
i am eating and also the way i feel although i do still feel groggy without the caffeine to wake me up that is something i am ok with as long as i dont have the heartburn and headaches,sadness
i was feeling less scared than before cause im a wizard wahahaha,fear
i didn t feel so lively february th goto comments leave a comment,joy
i honor this higher self sometimes i feel that i am alone,sadness
i feel very rich i have no money to speak of,joy
i wanted most in the world was to feel calm,joy
i knew i was on my way to the finish line but it didn t feel like it in fact i felt like the run and my suffering would never end,sadness
i feel pressured by a dumb feeling,fear
i was still more optimistic about things and how simple i see things right now i feel jaded and worn out,sadness
im feeling and loving about this homeschooling gig is the space that comes with it,love
i feel lame just writing about life things anyway,sadness
i feel shitty when im at work not doing much and not contributing to the bottom line because im not motivated i feel like a leech but i get paid and i dont turn it down,sadness
i feel strong confident and powerful,joy
i feel lethargic and drained,sadness
im guessing my nutrient poor carb dinner the night before had something to do with how i was feeling which was crappy with a huge side of hunger,sadness
i feel more generous and think that perhaps art dont have to do that necessarily but that the good art or the high art has to do that,love
i feel so angry at myself,anger
i too feels that kareena will make a fantastic cop,joy
i heard about this myth a long time ago and when we went my teacher and i joked about going and eating there since we were feeling a bit homesick,sadness
i feel like i am going to get blamed,sadness
i feel a bit paranoid like people are judging me,fear
i would feel pretty crap to put it in the prizes because its fake boooo,sadness
i feel it s just really boring if you were to end up playing a good vs good match it might happen i wouldn t want to play it and have my legolas look the same as the three other legolasses on the board because that s boring and i consider the painting to be part of the hobby,sadness
i feel like i need to apologize to you because of how i was finally convinced of your love,joy
i feel after i quit a job i hated class thumbnail width,sadness
i just didn t feel it i m afraid,fear
i finally feel excited to continue to try to lose some weight,joy
i feel quite bad that i made yihan feel bad,sadness
i can feel that my face is cleaner and looks more radiant,joy
i do feel hiccups sometimes they are so cute,joy
i feel like im being ungrateful cause here i am born into a happy loving family with hardly any trouble whatsoever with anything,sadness
i feel like they are not respected as they should be,joy
i feel that these types of people are the most dangerous in any situation,anger
i feel lonely as i walk around in school and at lot one shopping mall,sadness
i just feel like im nothing special,joy
i feel awkward to accept the reward they want to gave me,sadness
i imagine sitting at a fire at party with someone you really care about trying to tell them how you feel waiting and longing for the moment and feeling so many mixed feelings,love
im feeling more optimistic about it in regards being more at ease in shorts,joy
i feel that i am rather faithful to make up brands especially when i find something that really works for me,joy
i can do feeling helpless,fear
i feel a tender and still tentative unfurling of innocent desire towards my mate,love
im not typing this right now feeling all lethargic and buzzed up from all the food and drink like the old joe would have,sadness
i was feeling kind of regretful i didnt try out for the drill team but i think if i make this jv drill team itll be better for my schedule with ib and stuff ooh and today i got a letter from arita her friends in thailand are so cute,sadness
im back at my doctors tomorrow for the results of a blood test and to pick up a prescription if im still feeling as bad tomorrow as i am right now im going to mention something and hopefully get an appointment,sadness
ive made and provided that someone would understand exactly how i feel when im discouraged and ready to give up,sadness
i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents,love
i feel that i am very generous with giveaway copies of my copyrighted works and i dont like to have to address an issue like this but i work hard to produce my books,love
it was in march when one of my fellow students borrowed my wristwatch and after sometime he broke a glass of that watch i got angry when he was telling me but the anger didnt take long to fade,anger
i feel enraged when some people are happy,anger
i kept quiet feeling a little foolish that i had been too quick to jump into conclusion,sadness
im sitting there shitting bricks feeling completely terrified nervous that im going to make a mistake and cost my raid the achievement again this week,fear
i often feel an energetic disconnect when engaging with technology,joy
i sort of sense it but at the same time other signs point me away so i m left just feeling confused and misdirected,fear
i feel responsibility is suffering,sadness
i feel so unimportant there,sadness
i want to have amicable and easy relations with good feeling supportive neighbours,love
i could say im feeling very low right now because im trying trying but i hate slow progress,sadness
i feel a little sentimental about and will probably keep but at the end of the hour or so it took me to go through everything heres what i had a href http,sadness
i am fighting with my mind trying to tell myself to not feel lonely and there they re helping oh so much,sadness
i said glimpses of time moments of mercy that i am reminded just whose errand i am on and i feel so lucky to do his work,joy
im feeling rather sentimental and nostalgic now,sadness
i stared out the window for a few minutes feeling hopeless defeated and so tired,sadness
i am feeling disliked,sadness
i behave normally it feels weird,surprise
i have gotten comfortable laying the boat over and gently righting it using a low brace without jerking it or feeling alarmed by the lack of push back,fear
i am feeling mentally and physically drained i am no longer the same person i was a year ago i have changed,sadness
i feel most contented when,joy
i just want to take this opportunity to express my deepest feelings of sympathy to you over the loss of your beloved paul,joy
i feel mega lame because hes all i can think about for god knows what reason and he probably hasnt even had my name cross his mind since last week,sadness
i get that kind of pressure i start to feel irritated and i can quickly get angry and snappish,anger
i still feel the two most talented teams will st,joy
i feel morose nonetheless too much to do and too much to think about,sadness
i also feel very excited because i would like to know how our child would look like and i would be teaching her russian and british accents hahahaha,joy
i feel about myself ive been sort of faithful in supporting the huddle but i feel like ive done so sooo little in playing the game,love
i am not angry or feeling jealous or envious with what actually took place just now but i was just being a lost n upset girl wondering some things that i shouldnt be thinking not at this moment n never will,anger
i arrived on the cardiac floor i was feeling sleep deprived and a little on edge frankly i was stressed out,sadness
i am feeling quite cold,anger
i am finding other ways to feel entertained protected attractive comfortable,joy
ive been feeling mellon collie aka melancholy the past few days and i,sadness
i want to capture this stillness and place it in a bottle so that the next time i m feeling a little gloomy i can take out this piece of tranquility and just breathe,sadness
i know i am feeling frustrated and venting all my energy onto something that is very likely explanable if i could look beyond the surface,anger
i was still feeling skeptical and thought im crazy to try out this recipe since i never like oat porridge at all,fear
i said in my other post it feels so weird that its a story,fear
i could feel the desperation of the longing seeping within me,love
im with my grandparents i feel like the time is very precious,joy
im feeling hostile and irritated,anger
i attended i tried to pay more attention to the material that i was covering and even participated in some of the excercises despite feeling a little skeptical at first and thought that i would have nothing to gain from it,fear
i used to feel i can do anything but now i feel miserable,sadness
i feel the need to keep you entertained because i feel like youre bored of me,joy
i do feel remorseful for shouting at him at times when hes especially annoying,sadness
i had a feeling she hated the new litter we got we get costco brand and she dislikes julius using the same box,anger
i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with,joy
i can t seem to shake the feeling that i am taking up someone s valuable chance for comfort and guidance,joy
i forgive myself for accepting and allowing myself for having created and energy high addiction dependency upon and as self righteousness as a result of feeding my thoughts feelings emotions from the starting point of accepted and allowed justifications and validations,love
i feel deeply burdened and emotionally distraught however it is then you whisper be still and know that i am god,sadness
i feel valued appreciated and respected and i feel like i am going somewhere rather than merely treading water and going through the motions as i was starting to feel in my previous department,joy
i feel strongly about gentle transitions and sleeping with company is comforting for him and for us as well when you think about it as we sleep alongside our spouses and not separately,love
i feel too needy and probably seem far too detached,sadness
i have a surge of affection sometimes i just feel curious sometimes i feel sad in a way thats difficult to verbalize,surprise
i feel so ugly all the time,sadness
i hate feeling afraid,fear
i just get so attached to the guy im dating usually though its not this bad but iv been so emotional this last year that i just feel greedy and selfish for wanting him here at this very moment,anger
i wore a flowy maternity gown that made me feel everything but cute,joy
i am truly feeling more comfortable with technology almost on a daily basis,joy
i feel that friendly discussion about the problem can ease out the impact substantially,joy
i feel is damaged by the complex story being truncated into a summer blockbuster format,sadness
im fairly certain that part of the reason i always choose awful frames is because i feel so rushed,anger
i was stood with slade frontman noddy holder as the group performed his song cmon feel the noize to an ecstatic stadium filled to the brim with grown men holding their plastic pint pots aloft full of warm lager arm in arm singing every word,joy
i have loved not feeling rushed here,anger
i want to feel worthwhile and enjoyable,joy
i personally feel that a system that cannot guarantee that no innocent citizen will ever be convicted in error should only impose sentences on the convicted that can be reversed should such an error later on come to light,joy
i called his sister as kak lng as he call and als his brthers abang ngah and abang chik i never feels that i culd have thers t share my lve with im glad that they accept me even at first lk that im such nse t share their mthers lve huhu,joy
football was a very big deal at my high school,joy
i feel passionate about etc,love
i have always believed that love lives on that the feelings we have that are kind generous and accepting of others as they are exist independently of whether we decide to move on or not,joy
i feel somewhat ashamed,sadness
i do all these things is to feel abolutely even fabulous on the inside,joy
im usually feeling very blank and i know i posted already today but it was all bachelorette talk and i guess i had more to say,sadness
i tried to be empathetic pretended to be empathetic and acted as if i was making sure to put the needs of my family before my own for example but keenly aware of feeling resentful at the same time,anger
i am feeling depressed so having a giant apple pie in my face was not particularly a good idea,sadness
i feel as though this vicious cycle that life has thrown at me will never stop,anger
i like them no i love them i feel happy at the sight of them but i don t know what need have i of them or rather they of me,joy
i don t feel as if i m smart enough to accomplish my goals or to even socialize with other people i don t believe i m pretty i constantly eat and have lost the motivation to lose weight and be happy,joy
i was probably there for an hour or so i wouldve stayed longer but i was feeling too hot,love
im feeling needy and then you should put on music and just sit with me i promise to not compare you to other men in my life,sadness
i was upset most of the time during my birthday due to my assignment and also because of my parents forgetting about my birthday this year there were my friends who really brighten up my day and made me feel loved at the same time,love
i feel like i should end it all because nothing worthwhile is ever going to happen,joy
i feel broke inside but i wont admit,sadness
i cant help but feel so devastated for her because she has no idea what shes going to do,sadness
i guess i should be grateful i can still feel every day i am thankful for the unwavering love and support of friends and family who remind me i m worth the fight,joy
im feeling a lot more confident walking outside,joy
ive postponed writing this post because i feel like its a vulnerable one to write,fear
i feel the heat of disapproval and failure breathing hot on my neck and heart,love
i hate feel needy,sadness
i wrote i walked connected and shared with the people working and living at grshino and loved the feeling of being so honoured and welcomed by each and every one of these beautiful people of being part of a community,joy
i have once been very sad and lonely this was when i was trying to organize a play as a student years instead of materializing,sadness
i feel so blessed to be a citizen of the united states of america,love
i was not feeling terrific i did manage to do a bit of creating,joy
i feel weird and out of place,fear
i feel he that wonderful young man who drives himself in every way taking off on an adventure with his best friends from elementary school i felt so happy for him,joy
i havent written a wishlist post since august and my list of things i want is getting longer by the second so i thought id better write them all down here before it gets unmanageable p also christmas is less than a month away so if anyone is feeling generous,love
i cant stay like i am any longer i feel like a freak i dont want to have sex cause it must be like shagging a bouncy castle and also since i had my hair cut shorter i feel like a frump a complete fat frump,joy
i can feel if they are irritated angry sad or upset,anger
i feel rich when i use them,joy
i arrive and stand in front of the tiny box office window with the same feeling of being interviewed at the border by a police officer convinced you are a criminal trying to flee the country,joy
i started feeling weird and by saturday morning i could hardly take steps without being out of breath or wanting to throw up,surprise
i have made to washington dc in the last years to advocate for the cnmi foreign workers i feel that this one is the most productive,joy
i am feeling a little stressed but seriously i have no one or nothing to blame but myself,sadness
im feeling invigorated again and not a moment too soon,joy
i didnt know what it was but i then went home to later experiment so that i would feel accepted but as i experimented i learned a new feeling the feeling of greed,joy
i cant feel any lust or anything just a need to be reassured shes amazing,joy
i cant shake this feeling anymore like i know something terrible is going to happen to me,sadness
i can not tell you how good this makes me feel im funny,surprise
i don t have very many cookie cutters since i make cookies but once per year maybe twice if i m feeling benevolent,joy
i finally admit im feeling sorry for myself img src http community,sadness
i feel that when people try to promote positive body image it is at the expense of another type of body,joy
i have myself fallen victim to the sheltering scheme in the homeschool world and am feeling so hopeless and lost right now this goes back to a href http www,sadness
i just feel so disillusioned at the moment,sadness
i felt i won an argument afterwards i felt myself feeling somewhat hostile somehow separated by a long distance from you,anger
i feel like supporting other artists in a monetary way on these crowdsourcing sites is just one way to help do that,joy
i was feeling adventurous yesterday that i decided to whip up something on my own,joy
i love this i m feeling a romantic season coming on posted on wednesday th january,love
the event which got me angry got also an aversion in me,anger
i will wear these necklaces knowing that despite feeling so very heartbroken that i am very loved by a man who steals my heart over and over again,sadness
i am feeling rather weepy and blue,sadness
i feel so melancholy most of the time,sadness
i used the zpg tools in a particular way while i slept and that feeling of misalignment resolved itself,joy
i am dog tired of feeling hopeless when i have a savior that wants to give me hope,sadness
i feel like i need to say at least something about the downsides of my day a series of very very unfortunate events today led me to sit in an empty bathtub for an hour listening to blondie,sadness
i mumble and murmur as to what it means marvel that they exist feel uncomfortable ashamed to admit that i distrust the albino,fear
i am feeling quite generous today with my work so here is an excerpt from one of my favorite stories that i have written,love
i cant keep crying and feeling unimportant to someone,sadness
i will talk to when i am feeling unloved or as if i m being taken for granted,sadness
i feel like the cardinals have fucked me more times than any other team in picks this season,anger
i am feeling much more energetic and happy,joy
i do feel lucky,joy
i could feel the poisoned hateful angry buildup leaving and it made me feel lighter,anger
im feeling petty and mean right now so im going to say this,anger
i feel like folks are unsure to annoint the hilltoppers as the best team in the sun belt even though they are,fear
i left her session feeling a little offended a little uncomfortable and a lot convinced i need a radical change in my life,anger
i feel for every person that is supporting me on this journey,love
i feel happy for them,joy
i feel together a heartless beast subject book guest jp max online site xanax those your fish in stay,anger
i remember feeling so helpless years ago holding that child in my arms weeping waiting for his now grown brother and sister to get home from elementary school waiting to hear from friends and family in new york city that all was ok,sadness
i feel whiney i didnt want to ever tell people that crap its all over,sadness
i will even feel highly disturbed because i am not sad enough in the missing of husband,sadness
i feel relieved with that thought,joy
i also feel greedy and ashamed,anger
i very much enjoyed the build up and the air of suspense and confusion throughout but i cant help but feel dissatisfied by the ending,anger
im feeling rather cranky today whether its from lack of sleep of horrible allergies im not sure,anger
i don t feel insulted at all it s more like feeling proud actually,anger
i will feel comfortable handing it over to an editor,joy
i just feel like im a worthless piece of shit three or four times a week,sadness
i love mozart and pink floyd and sondheim more than irving berlin or j lo or beethoven who is complex but everything feels supportive beneath one main melody,love
i don t mean in the middle of the night in a moment of feeling very low but during the day consciously weighing the pros and cons,sadness
i always feel more intelligent walking out of that class than when i entered,joy
ive found myself even feeling very hopeless lately,sadness
i still feel the gentle firmness of his fingers on my jaw the jaw revealing my stubborn will and i realize those same hands are the ones that worked the wood into beauty that touched the leper to make ugly skin beautiful that were pierced with nails to make my life beautiful,love
i feel overwhelmed and weepy and filled with this nameless longing when i read that,fear
i feel that those countries who killed and tortured us are now benefiting by all the tourism money that they are making,fear
i know i m not alone in feeling deeply and horribly wronged outraged hurt scared and utterly defenseless,anger
i feel so discouraged this morning and was not in a good place to be handling peyton,sadness
i have that sinking feeling i m getting just a bit depressed or i know it i just want to get up in the morning,sadness
i am super excited and am only on day but am already feeling so much more creative and productive,joy
i think about it i feel violent,anger
i feel so grouchy a class post count link href http adventuresofjkl,anger
i wonder if anyone is even looking at my materials but now im feeling reassured and energized,joy
i still don t feel very funny,surprise
im still feeling a bit grouchy,anger
i feel id be passionate to invest my time into not to mention i enjoy writing as it is,love
i realised i have actually allowed so many people to do that to me and admit my unworthiness of not being competent or intelligent enough just to avoid them from feeling awkward when i know part of the technicalities of their subject,sadness
i think it helped make their new room here feel special,joy
im scheduled to do my run today but i feel shaky and lethargic,fear
i have a feeling that was because we opted to shoot more photojournalistically and completely prop free which is a personal fave of mine,joy
i have a little extra interest in this right now because i m feeling like my husband and i are in a vital parenting stage with our year old but there are several parenting books that i m itching to read,joy
i feel like i didnt need to grasp onto something comfortable that i was capable of trying something new,joy
i cant help feeling sorry for him,sadness
i feel really relaxed about my gift giving,joy
ive said i really feel feel as remorseful as ever although how long it had happened and whether im forgiven or not,sadness
