Text,Aspect Term,Sentiment
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,Neutral
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,Negative
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,Negative
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,Positive
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",Positive
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,Neutral
The machine is slow to boot up and occasionally crashes completely.,boot up,Negative
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,Negative
I love the operating system and the preloaded software.,operating system,Positive
I love the operating system and the preloaded software.,preloaded software,Positive
The best thing about this laptop is the price along with some of the newer features.,price,Positive
The best thing about this laptop is the price along with some of the newer features.,features,Positive
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,Negative
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,Negative
but now i have realized its a problem with this brand.,brand,Negative
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,Positive
I was looking for a mac which is portable and has all the features that I was looking for.,features,Positive
Also kinda loud when the fan was running.,fan,Negative
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,Neutral
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,Negative
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,Negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,Negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,Negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,Neutral
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,Positive
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,Negative
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,Negative
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,Neutral
"Speaking of the browser, it too has problems.",browser,Negative
The keyboard is too slick.,keyboard,Negative
Nightly my computer defrags itself and runs a virus scan.,virus scan,Neutral
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,Negative
It's just as fast with one program open as it is with sixteen open.,program,Neutral
"Still under warrenty so called Toshiba, no help at all.",warrenty,Negative
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,Negative
Amazing Quality!,Quality,Positive
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,Neutral
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,Positive
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,Neutral
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,Neutral
"A month or so ago, the freaking motherboard just died.",motherboard,Negative
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,Negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,Negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,Negative
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,Positive
It rarely works and when it does it's incredibly slow.,works,Negative
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,Positive
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,Neutral
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,Positive
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,Negative
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,Neutral
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,Neutral
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,Positive
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,Positive
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,Negative
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,Negative
"Then, within 5 months, the charger crapped out on me.",charger,Negative
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,Positive
I love the glass touchpad.,glass touchpad,Positive
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,Negative
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,Negative
I am using the external speaker- sound is good.,external speaker,Positive
I am using the external speaker- sound is good.,sound,Positive
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,Negative
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,Negative
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,Negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,Positive
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,Negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,Positive
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,Negative
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,Negative
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,Positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,Positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,Positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,Neutral
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,Positive
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",Neutral
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,Neutral
I eventually did the migration from my iMac backup disc which uses USB.,USB,Neutral
"The battery life seems to be very good, and have had no issues with it.",battery life,Positive
Enabling the battery timer is useless.,battery timer,Negative
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,Neutral
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,Neutral
Going to bring it to service today.,service,Neutral
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,Positive
"But we had paid for bluetooth, and there was none.",bluetooth,Negative
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,Neutral
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,Negative
"My daughter uses it for games, email, facebook, pictures and music.",games,Neutral
"It is always reliable, never bugged and responds well.",responds,Positive
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,Negative
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,Neutral
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,Negative
they had to replace the motherboard in April,motherboard,Negative
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,Positive
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,Negative
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,Negative
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,Positive
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,Positive
I love WIndows 7 which is a vast improvment over Vista.,Vista,Negative
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,Positive
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,Negative
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,Negative
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,Neutral
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,Positive
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,Positive
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,Positive
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,Neutral
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,Negative
It weighed like seven pounds or something like that.,weighed,Neutral
It weighed like seven pounds or something like that.,seven pounds,Neutral
"2 months later, the battery went.",battery,Negative
You may need to special order a bag.,bag,Neutral
It's color is even cool.,color,Positive
keys are all in weird places and is way too large for the way it is designed.,keys,Negative
keys are all in weird places and is way too large for the way it is designed.,designed,Negative
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,Positive
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,Positive
The keyboard feels good and I type just fine on it.,keyboard,Positive
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,Neutral
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,Negative
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,Positive
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,Positive
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,Positive
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,Neutral
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,Neutral
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,Positive
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,Positive
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,Positive
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,Positive
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,Positive
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",Positive
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,Neutral
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,Positive
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,Positive
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,Negative
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,Negative
lots of preloaded software.,preloaded software,Positive
"I wish it had a webcam though, then it would be perfect!",webcam,Negative
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,Positive
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,Neutral
Another thing I might add is the battery life is excellent.,battery life,Positive
"One drawback, I wish the keys were backlit.",keys,Negative
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,Positive
I wish the volume could be louder and the mouse didnt break after only a month.,volume,Negative
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,Negative
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,Positive
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,Positive
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,Negative
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,Positive
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,Negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,Negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,Positive
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,Negative
"Great battery, speed, display.",battery,Positive
"Great battery, speed, display.",speed,Positive
"Great battery, speed, display.",display,Positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,Negative
"It's applications are terrific, including the replacements for Microsoft office.",applications,Positive
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,Positive
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,Negative
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,Neutral
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,Negative
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,Negative
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,Negative
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,Negative
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,Negative
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,Positive
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,Positive
Mostly I love the drag and drop feature.,drag and drop feature,Positive
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,Negative
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,Positive
The screen is very large and crystal clear with amazing colors and resolution.,screen,Positive
The screen is very large and crystal clear with amazing colors and resolution.,colors,Positive
The screen is very large and crystal clear with amazing colors and resolution.,resolution,Positive
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,Negative
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,Positive
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,Negative
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,Neutral
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,Negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,Negative
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,Negative
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,Positive
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,Positive
The AMD Turin processor seems to always perform so much better than Intel.,Intel,Negative
  After that the said it was under warranty.,warranty,Neutral
The start menu is not the easiest thing to navigate due to the stacking.,start menu,Negative
The start menu is not the easiest thing to navigate due to the stacking.,navigate,Negative
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,Negative
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,Negative
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,Negative
Really like the textured surface which shows no fingerprints.,surface,Positive
The screen is bright and the keyboard is nice;,screen,Positive
The screen is bright and the keyboard is nice;,keyboard,Positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,Positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,Positive
"High price tag, however.",price tag,Negative
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,Positive
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,Negative
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,Negative
It is easy to use and lightweight.,use,Positive
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,Positive
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,Positive
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,Neutral
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,Neutral
This laptop is a great price and has a sleek look.,price,Positive
This laptop is a great price and has a sleek look.,look,Positive
I especially like the keyboard which has chiclet type keys.,keyboard,Positive
I especially like the keyboard which has chiclet type keys.,keys,Positive
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,Negative
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,Negative
The gray color was a good choice.,gray color,Positive
I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,Negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,Negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,Negative
I bought a protector for my key pad and it works great :),protector,Neutral
I bought a protector for my key pad and it works great :),key pad,Positive
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,Positive
It seems they could have updated XP and done without creating Vista.,XP,Positive
It seems they could have updated XP and done without creating Vista.,Vista,Negative
"  It is easy to use, fast and has great graphics for the money.",graphics,Positive
"  It is easy to use, fast and has great graphics for the money.",use,Positive
I like how the Mac OS is so simple and easy to use.,Mac OS,Positive
I like how the Mac OS is so simple and easy to use.,use,Positive
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,Positive
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,Positive
only good thing is the graphics quality.,graphics quality,Positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,Negative
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,Negative
The paint wears off easily due to the keyboard being farther back than usual.,paint,Negative
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,Negative
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,Neutral
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,Positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,Negative
I always use a backup hard disk to store important files at all times.,hard disk,Neutral
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,Negative
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,Negative
But the screen size is not that bad for email and web browsing.,screen size,Positive
But the screen size is not that bad for email and web browsing.,web browsing,Neutral
Once I removed all the software the laptop loads in 15-20 seconds.,software,Negative
Once I removed all the software the laptop loads in 15-20 seconds.,loads,Neutral
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,Negative
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,Neutral
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,Negative
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,Negative
"Obviously one of the most important features of any computer is the ""human interface.",features,Neutral
"Obviously one of the most important features of any computer is the ""human interface.",human interface,Neutral
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,Negative
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,Negative
The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,Negative
The i5 blows my desktop out of the water when it comes to rendering videos.,i5,Negative
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,Neutral
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,Neutral
"Am very glad I bought it, great netbook, low price.",price,Positive
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",operating system,Neutral
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,video chat,Negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",Fan,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",cooling pad,Neutral
